Trial,Units,Learning Rate,Validation Accuracy
1,512,0.01,0.7375415563583374
2,416,0.001,0.5204872488975525
3,160,0.001,0.5083056688308716
4,480,0.01,0.673311173915863
5,256,0.01,0.7198228240013123
6,256,0.001,0.5083056688308716
7,512,0.01,0.8217054009437561
8,256,0.01,0.7563676834106445
9,480,0.01,0.7541528344154358
10,512,0.01,0.8338870406150818
11,256,0.01,0.7397563457489014
12,224,0.001,0.513842761516571
13,448,0.0001,0.7397563457489014
14,32,0.01,0.7176079750061035
15,96,0.01,0.7763012051582336
16,96,0.01,0.7840531468391418
17,448,0.0001,0.7906976938247681
18,64,0.001,0.6744186282157898
19,480,0.0001,0.7397563457489014
20,160,0.01,0.8250277042388916
21,32,0.001,0.7995570302009583
